ID,Name,Test Case Description,Pre-Action,Test Steps.Action,Post-Action
1,VHIL_H100_VehFunc_BrakeLamp_FrontSwitchDebounce_Neutral,Observe the behaviour of brake lamp ON based on front brake switch press time is greater than debounce time at neutral condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing less than debounce time)
2.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed (switch press timing less than debounce time)
 2.1.Cluster should display BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x2 (Brake not actuated)
 2.2. .Cluster should display BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
 2.3.Check in cluster: Neutral gear and speed 0kmph
 2.4.Brake lamp should be OFF
3.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing greater than debounce time)
 3.1. Cluster should display BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x1 (Brake actuated)
 3.2. Check in cluster:Neutral gear and speed 0kmph
 3.3. Brake lamp should ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
2,VHIL_H100_VehFunc_BrakeLamp_FrontSwitchDebounce_Driving,Observe the behaviour of brake lamp ON based on front brake switch press time is greater than debounce time at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate  HIL_Mdl_GPS = 1 and HIL_Mdl_Cons_APS= 7%  to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 10 kmph
2.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing less than debounce time)
3.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed (switch press timing less than debounce time)
 3.1. Check if  BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x2 (Brake not actuated)
 3.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
 3.3. Check in cluster: 1st gear and 10 kmph
 3.4. Brake lamp should be OFF
4.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing greater than debounce time)
 4.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x1 (Brake actuated)
 4.2. Check in cluster: 1st gear
 4.3. Brake lamp should ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
3,VHIL_H100_VehFunc_BrakeLamp_RearSwitchDebounce_Neutral,Observe the behaviour of brake lamp ON based on rear brake switch press time is greater than debounce time at neutral condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate  HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing less than debounce time)
2.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed (switch press timing less than debounce time)
 2.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x2 (Brake not actuated)
 2.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
 2.3. Cluster should show : Neutral gear and speed 0kmph
 2.4.Brake lamp should be OFF
3.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed (switch press timing greater than debounce time)
 3.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x1 (Brake actuated)
 3.2. Check in cluster if Neutral gear and speed 0kmph
 3.3. Brake lamp should be ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
4,VHIL_H100_VehFunc_BrakeLamp_RearSwitchDebounce_Driving,Observe the behaviour of brake lamp ON based on rear brake switch press time is greater than debounce time at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS = 2nd gear [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x4] 
1.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x2 (Brake not actuated)
1.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
1.3. Cluster should display 2nd gear 
1.4. Brake lamp should be OFF
2.Simulate HIL_Mdl_Cons_APS= 20% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 30kmph
3.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed (switch press timing less than debounce time)
4.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed (switch press timing more than debounce time)
 4.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x1 (Brake actuated)
 4.2. Cluster should display: 2nd gear and speed 30kmph
 4.3. Brake lamp should ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
5,VHIL_H100_VehFunc_BrakeLamp_SC_GND_FrontRearPressed_Driving,Observe the behaviour when short circuit to ground  front brake and rear brake pressed state at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS = 3rd gear [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x7]
2.Simulate HIL_Mdl_Cons_APS= 20% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 40kmph
3.Perform short circuit to ground [HIL_Mdl_Cons_Front_Brake]
4.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed
 4.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x3 (Signal invalid)
 4.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x1 (Brake actuated)
 4.3. Cluster should display: 3rd gear and 40kmph
 4.4.Brake lamp should be ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
6,VHIL_H100_VehFunc_BrakeLamp_SC_BAT_FrontRearNotPressed,Observe the behaviour when short circuit to battery front brake and rear brake not pressed state ,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Perform short circuit to battery of HIL_Mdl_Cons_Front_Brake
2.Simulate HIL_Mdl_Cons_Rear_Brake = 0; Not Pressed
2.Cluster should display 
 2.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x3 (Signal invalid)
 2.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
 2.3. Check if Neutral gear and 0kmph
 2.4. Brake lamp should be OFF","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
7,VHIL_H100_VehFunc_BrakeLamp_OC_FrontPressed_RearPressed_Driving,Observe the behaviour when open circuit front brake and rear brake pressed state at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS = 1st gear [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x1]
2.Simulate HIL_Mdl_Cons_APS= 6% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 10kmph
3.Perform open circuit [HIL_Mdl_Cons_Front_Brake]
4.Simulate HIL_Mdl_Cons_Rear_Brake = 1; Pressed
 4.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x3 (Signal invalid)
 4.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x1 (Brake actuated)
 4.3. Cluster should display 1st gear and 10kmph and speed will reduce in sometime
 4.4. Brake lamp should be ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
8,VHIL_H100_VehFunc_BrakeLamp_OC_FrontPressed_RearPressed,Observe the behaviour when Open circuit front brake and rear brake pressed state ,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Perform open circuit [HIL_Mdl_Cons_Front_Brake]
2.Simulate HIL_Mdl_Cons_Rear_Brake = 0; Not Pressed
 2.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x3 (Signal invalid)
 2.2. BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x2 (Brake not actuated)
 2.3.Check in cluster: Neutral gear and 0kmph
 2.4. Brake lamp should be OFF","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
9,VHIL_H100_VehFunc_BrakeLamp_SC_GND_RearPressed_FrontPressed_Driving,Observe the behaviour when short circuit to ground rear brake and front brake pressed state at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS = 2nd gear [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x4]
2.Simulate HIL_Mdl_Cons_APS= 20% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 30kmph
3.Simulate HIL_Mdl_Cons_Front_Brake = 1; Pressed
4.Perform short circuit to ground [HIL_Mdl_Cons_Rear_Brake]
 4.1. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x1(Brake actuated)
 4.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x3 (Signal invalid)
 4.3. Cluster should display: 2nd gear and 30kmph
 4.4. Brake lamp should be ON","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
10,VHIL_H100_VehFunc_BrakeLamp_SC_BAT_RearPressed_FrontNotPressed_Driving,Observe the behaviour when short circuit to battery rear brake and front brake not pressed state at vehicle driving condition,"1. Set Battery Voltage to 13.5V
2. Turn Ignition ON.[HIL_Mdl_Ignition_SW_IP= 1]
3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]
4.Simulate HIL_Mdl_GPS = Neutral [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x2]
5.Simulate HIL_Mdl_Cons_APS= 0% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS = 1st gear [BUS_ENGINE_DATA_1_0x150_GEAR_POSITION =  0x1]
2.Simulate HIL_Mdl_Cons_APS= 6%  to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 10kmph
3.Simulate HIL_Mdl_Cons_Front_Brake = 0; Not Pressed
4.Perform short circuit to battery [HIL_Mdl_Cons_Rear_Brake]
 4.1.Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_FRONT_VEHICLE_BRAKE_STATUS = 0x2(Brake not actuated)
 4.2. Check if BUS_CLUSTER_QS_CC_TC_SETTING_0x120_REAR_BRAKE_SWITCH_STATUS = 0x3 (Signal invalid)
 4.3. Cluster should display 1st gear and 10kmph
 4.4. Brake lamp should be OFF","1. Turn Ignition OFF.[HIL_Mdl_Ignition_SW_IP= 0]
2. Set Battery Voltage to 0V"
