ID,Test Case Title,Test Case Description,Pre-Action,Test Steps.Action,Post-Action,,,,,
1,VHIL_N600_VehFunc_TSL_LeftTSL_Blinking_Urban_DayCondition,To check Left TSL blinking with and without fault condition in Urban  Mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4
 1.1 Cluster HMI shall be working in Light mode (White colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4)
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Left_Indicator_SW_IP=1.(Left Indicator Switch ON)
 3.1 TSL lamps-Left_RR_Indicator_OP shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
4. Disconnect Left_RR_Indicator_OP(Rear Left TSL) wiring and connect after observing the output
 4.1 Left_FR_Indicator_OP(front Left TSL) shall start blinking(@120+/-2 CPM).
 4.2 Left indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 4.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
 4.4 TSL should work Normaly ones fault is removed
5. Disconnect Left_FR_Indicator_OP(front Left TSL) wiring and connect after observing the output. 
 5.1 Left_RR_Indicator_OP(Rear Left TSL) shall start blinking(@120+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 5.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
 5.4 TSL should work Normaly ones fault is removed","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
2,VHIL_N600_VehFunc_TSL_RightTSL_Blinking_Urban_DayCondition,To check Right TSL blinking with and without fault condition in Urban Mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4
 1.1 Cluster HMI shall be working in Light mode (White colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4)
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Right_Indicator_SW_IP=1.(Right Indicator Switch ON)
 3.1 TSL lamps-Right_RR_Indicator_OP shall start blinking(@80+/-2 CPM).
 3.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
4. Disconnect Right_RR_Indicator_OP(Rear Right TSL) wiring and connect after observing the output
 4.1 Right_FR_Indicator_OP(front Right TSL) shall start blinking(@120+/-2 CPM).
 4.2 Right indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 4.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
 4.4 TSL should work Normaly ones fault is removed
5. Disconnect Right_FR_Indicator_OP(front Right TSL) wiring and connect after observing the output 
 5.1 Right_RR_Indicator_OP(Rear Right TSL) shall start blinking(@120+/-2 CPM).
 5.2 Right indicator Tell tale shall blink at a frequency of 120+/-2 CPM.
 5.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected
 5.4 Do IGN ON --> OFF --> ON
 5.5 TSL should work Normaly ones fault is removed","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
3,VHIL_N600_VehFunc_TSL_HAZARD_SW_Check_in_Urban_Day Condition,TSL status with reference to Hazard switch check in urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1]","1. Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Hazard_SW_IP=1(ON)
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(Right TSL) & Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall
start blinking (@80+/-2 CPM).
 3.2 Right and Left Tell Tales shall blink in cluster at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
4,VHIL_N600_VehFunc_TSL_LeftToHazardSW_Urban_DayCondition,left Indicator to Hazard switch interface in Urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Left_Indicator_SW_IP=1  (Left Indicator Switch ON).
 3.1 TSL lamps -  Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected.
4. Set Hazard_SW_IP=0.(ON)
 4.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL) & Right_RR_Indicator_OP & Right_FR_Indicator_OP(LEFT TSL) shall start blinking(Flash @80+/-2 CPM).
 4.2 Left and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5. Set Hazard_SW_IP=1.(OFF).
 5.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL's) shall start blinking(@80+/-2 CPM).
 5.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator Left status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
5,VHIL_N600_VehFunc_TSL_RightToHazardSW_Urban_DayCondition,Right Indicator to Hazard switch interface in Urban mode and Day condition.,"
1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Right_Indicator_SW_IP=1  (Right Indicator Switch ON).
 3.1 TSL lamps -  Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL's) shall start blinking(@80+/-2 CPM).
 3.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected.
4. Set Hazard_SW_IP=0.(ON)
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(Flash @80+/-2 CPM).
 4.2 Right and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5. Set Hazard_SW_IP=1.(OFF).
 5.1 Right_RR_Indicator_OP&Right_FR_Indicator_OP(RIGHT TSL's) shall start blinking(@80+/-2 CPM).
 5.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 5.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected.","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
6,VHIL_N600_VehFunc_TSL_LVSD_HVSD_Urban_DayCondition_LowVoltage,LVSD and HVSD Test combinations in Urban mode and Day condition_LowVoltage,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
1. Gradually decrease the battery voltage until it reaches 7.2V.
 1.1 LVSD flag is set.
2. Set  Left_Indicator_SW_IP=1(Left Indicator Switch ON).
 2.1 Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL)=OFF(NOT BLINKING because the cluster is in shut down mode).
 2.2 Left indicator Tell tale shall not blink.
 2.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
3. Set the Voltage to 13.5V.
 3.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
4. Set Right_Indicator_SW_IP=1(Right Indicator Switch ON).
 4.1 TSL lamps-Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall start blinking(@80+/-2 CPM).
 4.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
7,VHIL_N600_VehFunc_TSL_LVSD_HVSD_Urban_DayCondition_HighVoltage,LVSD and HVSD Test combinations in Urban mode and Day condition_gradually increase to High Voltage,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
1. Gradually increase the battery voltage until it reaches 18.6V and wait for 2sec.
 1.1 HVSD flag is set.
2. Set  Left_Indicator_SW_IP=1(Left Indicator Switch ON).
 2.1 Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL)=OFF(NOT BLINKING because the cluster is in shut down mode).
 2.2 Left indicator Tell tale shall not blink.
 2.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected
3. Set the Voltage 13.5V
 3.1 TSL lamps-Left_RR_Indicator_OP&Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 3.2 Left indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicator left status to smart phone app when BT App is connected.
4. Set Right_Indicator_SW_IP=1(Right Indicator Switch ON).
 4.1 TSL lamps-Right_RR_Indicator_OP&Right_FR_Indicator_OP(Right TSL) shall start blinking(@80+/-2 CPM).
 4.2 Right indicator Tell tale shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send turn indicator Right status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
8,VHIL_N600_VehFunc_TSL_Behaviour_duringIGNtransitions_Urban_DayCondition,Behavior check of TSL during IGN transitions in Urban mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3. Set Hazard_SW_IP=1(ON).
 3.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP (RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(Flash@80+/-2 CPM).
 3.2 Left & Right indicator Tell tale's(TT's) shall blink at a frequency of 80+/-2 CPM.
 3.3 Cluster shall send turn indicators status to smart phone app when BT App is connected
4. Set the IGN to OFF with Ignition_SW_IP = 0 (OFF).
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall be blinking(Flash@80+/-2 CPM).
 4.2 Left & Right  indicator Tell tale's(TT's) shall not blink(OFF) in cluster
 4.3 Cluster shall send turn indicators status to smart phone app when BT App is connected
5.Set the IGN to ON with Ignition_SW_IP = 1 (ON)&Set Hazard_SW_IP=0(OFF).
 5.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP & Left_RR_Indicator_OP & Left_FR_Indicator_OP shall not blink(OFF).
 5.2 Left & Right  indicator Tell tale's(TT's) shall not blink(OFF).
 5.3 Cluster shall send turn indicators status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
9,VHIL_N600_VehFunc_TSL_RightFrontRearTSL_FaultyCondn_Check_Urban_DayCondition,Right Front and Rear TSL faulty condition checks in Urban  mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set  Right_Indicator_SW_IP=0(ON). and Disconnect Right_RR_Indicator_OP(Rear Right TSL) wiring and connect after observing the output.
 3.1 Right_FR_Indicator_OP(Front Right TSL) shall blink @120+/-2 CPM.
 3.2 Right Tell Tale shall blink @ 120+/-2 CPM.
 3.3 Cluster shall send turn right indicator status to smart phone app when BT App is connected
4.Set Hazard_SW_IP=1(ON).
 4.1 Right_RR_Indicator_OP & Right_FR_Indicator_OP(RIGHT TSL) & Left_RR_Indicator_OP & Left_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 4.2 Right and Left  Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5.Set Hazard_SW_IP=0(OFF).
 5.1 Right_RR_Indicator_OP(front Right TSL) shall blink @120+/-2 CPM.
 5.2 Right Tell Tale shall blink @ 120+/-2 CPM.
 5.3 Cluster shall send turn right indicator status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
10,VHIL_N600_VehFunc_TSL_LeftFrontRearTSL_FaultyCondn_Check_Urban_DayCondition,Left Front and Rear TSL faulty condition checks in Urban mode and Day condition.,"1. Set voltage to 13.5V.
2.Simulate SIDE_STAND_STATUS[0x350] = 0x1 [Side stand retracted]
3. Turn Ignition ON.[Ignition_SW_IP= 1].","1.Go to->Menu->Display Setup->Light and Dark mode-> Select ""Light""(Via Control switches 1 to 4)
 1.1 Cluster HMI shall be working in Light  mode (white Colour background)
2. Go to Menu-> Select Ride mode-> Select ""URBAN""(Via Control switches 1to 4).
 2.1 ""URBAN"" mode shall be displayed in HMI home screen.
3.Set  Left_Indicator_SW_IP=0(ON) and Disconnect Left_RR_Indicator_OP(Rear Left TSL) wiring and connect after observing the output.
 3.1 Left_FR_Indicator_OP(front Left TSL) shall blink @120+/-2 CPM.
 3.2 Left Tell Tale shall blink @ 120+/-2 CPM.
 3.3 Cluster shall send turn Left indicator status to smart phone app when BT App is connected
4.Set Hazard_SW_IP=1(ON).
 4.1 Left_RR_Indicator_OP & Left_FR_Indicator_OP(Left TSL) & Right_RR_Indicator_OP & Right_FR_Indicator_OP(LEFT TSL) shall start blinking(@80+/-2 CPM).
 4.2 Left and Right Tell Tales shall blink at a frequency of 80+/-2 CPM.
 4.3 Cluster shall send hazard switch status to smart phone app when BT App is connected.
5.Set Hazard_SW_IP=0(OFF).
 5.1 Left_RR_Indicator_OP(front Left TSL) shall blink @120+/-2 CPM.
 5.2 Left Tell Tale shall blink @ 120+/-2 CPM.
 5.3 Cluster shall send turn Left indicator status to smart phone app when BT App is connected","1. Simulate SIDE_STAND_STATUS[0x350] = 0x0
2. Turn Ignition OFF.[Ignition_SW_IP= 0]
3. Set voltage to 0V.",,,,,
