ID,Name,Test Case Description,Pre-Action,Test Steps.Action,Post-Action
,VHIL_H100_VehFunc_ODO_Reset_DID_LessThan300km_Neutral,"To verify the Reset ODO value through DID, when ODO value is less than 300km at Neutral gear","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[Ignition_SW_IP= 1]

3.Crank the vehicle[HIL_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS= 3rd[GEAR_POSITION[0x150=0x7]

2.Simulate HIL_Mdl_Cons_APS 30% to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 50kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 190km]

At step 3:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""190""km

b)3rd gear, 50Kmph

EMS should publish,

a)ENGINE_STATUS [0x151] = 0[Running]

4.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

5.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph

6.Write ODO value through DID value[E119] =0km [ODO_CLUSTER[0X550] = 0][For All ODO values writing procedure please refer Sheet 3]

At step 6:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""0""km

b)Neutral gear, 0Kmph

EMS should publish,

a)ENGINE_STATUS [0x151] = 0[Running]","1.Turn Ignition OFF[Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Reset_DID_forthAttempt_LessThan300km_Neutral,"To verify the Reset ODO value through DID for 4th time, when ODO value is less than 300km at Neutral gear","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[HIL_Mdl_HIL_Mdl_Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1..Simulate HIL_Mdl_GPS= 3rd[GEAR_POSITION[0x150=0x7]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 50kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 10km]

At step 3

Cluster should display,

a)ODO_CLUSTER [0x550] = ""10""km

b)3rd gear, 50Kmph

4.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

5.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 0kmph

6.Write ODO value through DID value[E119] =20km [ODO_CLUSTER[0X550] = 0]

At step 6

Cluster should display,

a)ODO_CLUSTER [0x550] = ""20""km

b)Neutral gear, 0Kmph

7.Simulate HIL_Mdl_GPS= 1st[GEAR_POSITION[0x150=0x1]

8.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 30kmph.

9.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0x550] = 105km]

At step 9

Cluster should display,

a)ODO_CLUSTER [0x550] = ""105""km

b)1st gear, 30Kmph

10.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

11.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 0kmph

12.Write ODO value through DID value[E119] =200km

[ODO_CLUSTER[0X550] = 4]

At step 12:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""200""km

b)Neutral gear, 0Kmph

13.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0x550] = 295km]

At step 13

Cluster should display,

a)ODO_CLUSTER [0x550] = ""295""km

b)1st gear, 30Kmph

14.Write ODO value through DID value[E119] =299km

[ODO_CLUSTER[0X550] = 299]

At step 14:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""298""km[""299Km"" reset will not happen, since reset is for 4th time]

b)Neutral gear, 0Kmph","1.Turn Ignition OFF[HIL_Mdl_Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Reset_DID_SpeedNotZero_1stGear,"To verify the Reset ODO value through DID, when the speed is not equal to ""0"" at 1st gear","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[HIL_Mdl_Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1..Simulate HIL_Mdl_GPS= 2nd[GEAR_POSITION[0x150=0x4]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 30kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 90km]

At step 3

Cluster should display,

a)ODO_CLUSTER [0x550] = ""90""km

b)2nd gear, 30Kmph

4.Write ODO value through DID value[E119] =0km [ODO_CLUSTER[0x550] = 0]

At step 4

Cluster should display,

a)ODO_CLUSTER [0x550] = ""90""km[ODO reset will not happen at speed!=0]

b)2nd gear,30kmph","1.Turn Ignition OFF[HIL_Mdl_Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Reset_DID_MoreThan300km_Neutral,"To verify the Reset ODO value through DID, when ODO value is more than 300km at Neutral gear","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[HIL_Mdl_Ignition_SW_IP= 1]

3.Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1..Simulate HIL_Mdl_GPS= 5th[GEAR_POSITION[0x150=0xB]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 70kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 390km]

At step 3

Cluster should display,

a)ODO_CLUSTER [0x550] = ""390""km

b)5th gear, 70Kmph

4.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

5.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 0kmph

6.Write ODO value through DID value[E119] =0km [ODO_CLUSTER[0x550] = 0]

At step 6

Cluster should display,

a)ODO_CLUSTER [0x550] = ""390""km[ODO reset cannot happen more than 300km]

b)Neutral gear, 0Kmph","1.Turn Ignition OFF[HIL_Mdl_Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Reset_DID_SpeedFault_InvalidSignal,"To verify the Reset ODO value through DID, when there is speed fault
(Rear & Front Wheel Speed Senor signal is invalid)","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[Ignition_SW_IP= 1]

3.Crank the vehicle[HIL_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS= 4th[GEAR_POSITION[0x150=0x8]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 45kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 140km]

At step 3

Cluster should display,

a)ODO_CLUSTER [0x550] = ""140""km

b) 4th gear, 45Kmph

4.a.Perform Open Circuit for [WSS_REAR_IP]

BUS_ABS_DATA_3_0x451_WHEEL_SPEED_REAR[0x451=0x3]; Signal Invalid

4.b.Perform Open Circuit for [WSS_FRONT_IP]

BUS_ABS_DATA_3_0x451_WHEEL_SPEED_FRONT[0x451=0x3]; Signal Invalid

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Write ODO value through DID value[E119] =0km [ODO_CLUSTER[0X550] = 0]

After step 6:

ABS should publish

a) DISTANCE_REAR = Invalid

b) DISTNACE_FRONT = Invalid

c)WSS_REAR = Invalid

d)WSS_FRONT = Invalid

Cluster should display,

a)ODO_CLUSTER [0x550] = ""140""km[Because of WSS failure]","1.Turn Ignition OFF[Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Reset_DID_SpeedFault_SensorDefective,"To verify the Reset ODO value through DID, when there is speed fault
(Rear & Front Wheel Speed Senor is defective)","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS= 4th[GEAR_POSITION[0x150=0x8]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 55kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 180km]

At step 3:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""180""km

b)4th gear, 55Kmph

4.a.Perform Open Circuit for [WSS_REAR_IP]

BUS_ABS_DATA_3_0x451_WHEEL_SPEED_REAR[0x451=0x2]; Sensor Defect

4.b.Perform Open Circuit for [WSS_FRONT_IP]

BUS_ABS_DATA_3_0x451_WHEEL_SPEED_FRONT[0x451=0x2]; Sensor Defect

After step 4:

ABS should publish

a) DISTANCE_REAR = Invalid

b) DISTNACE_FRONT = Invalid

c)WSS_REAR = Invalid

d)WSS_FRONT = Invalid

Cluster should display,

a)ODO_CLUSTER [0x550] = ""180""km","1.Turn Ignition OFF[Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_TextBlink_InvalidSignal_Reserved,"To verify the Reset ODO value through DID, when there is speed fault
(Front Wheel Speed Senor is defective)","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Simulate HIL_Mdl_GPS= 3rd[GEAR_POSITION[0x150=0x8]

2.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 35kmph.

3.Simulate HIL_Mdl_Cons_APS to achieve [ODO_CLUSTER[0X550] = 180km]

At step 3:

Cluster should display,

a)ODO_CLUSTER [0x550] = ""180""km

b)3rd gear, 35Kmph

4.Perform Open Circuit for [WSS_FRONT_IP]

BUS_ABS_DATA_3_0x451_WHEEL_SPEED_FRONT[0x451=0x1]; Sensor defect

5.Write ODO value through DID value[E119] =0km [ODO_CLUSTER[0X550] = 0]

After step 5:

ABS should publish

a) DISTANCE_REAR = Invalid

b) DISTNACE_FRONT = Invalid

c)WSS_REAR = Invalid

d)WSS_FRONT = Invalid

Cluster should display,

a)ODO_CLUSTER [0x550] = ""140""km[ODO reset will not happen]","1.Turn Ignition OFF[Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Rollback_MaxValue_999999km,"To verify the ODO value doesn’t rolls back to 0, when Odometer value reach the maximum value (999999km) ","1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[HIL_Mdl_Ignition_SW_IP= 1]

3.Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1.Write ODO value through DID value[E119] = 999999km [ODO_CLUSTER[0X550] = 999999]

At step 1

Cluster should display,

a)ODO_CLUSTER [0x550] = ""999999""km

b)Neutral gear, 0Kmph

2.Simulate HIL_Mdl_GPS= 3 [GEAR_POSITION[0x150=0x7]; 3 Gear]

3.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 40kmph

4. Drive the vehicle for 1Km [Scenario to be decided]

At step 4

Cluster should display,

a) ODO doesnt roll back to ""0""Km and should remain at maximum value

b)3 gear, 40kmph","1.Turn Ignition OFF[HIL_Mdl_Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Resolution_1km_Above100000,To verify the Odometer resolution is 1km  when the displayed ODO value is >=100000,"1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1..Write ODO value through DID value[E119] = 100000km [ODO_CLUSTER[0X550] = 100000]

At step 1

Cluster should display,

a)ODO_CLUSTER [0x550] = ""100000""km

b)Neutral gear, 0Kmph

2.Simulate HIL_Mdl_GPS= 3 [GEAR_POSITION[0x150=0x7]; 3 Gear]

3.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 40kmph

4. Drive the vehicle for 1 Km [Scenario to be decided]

5. Verify the ODO value after step 4

At step 5

Cluster should display,

a) ODO_CLUSTER [0x550] = ""100001""km (Resolution of 1Km)

b) 3 gear, 40kmph

c) Distance_Rear = Calculated as per WSS_REAR_IP","1.Turn Ignition OFF[Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
,VHIL_H100_VehFunc_ODO_Resolution_0_1km_Below999999_9,To verify the Odometer resolution is 1 km  when the displayed ODO value is below 999999Km,"1.Set Battery Voltage to 13.5V

2.Turn Ignition ON[HIL_Mdl_Ignition_SW_IP= 1]

3. Crank the vehicle[HIL_Mdl_Engine_Start_SW=1]

4.No CAN failure & ODO related failure should not be present

5.Simulate HIL_Mdl_GPS= Neutral [GEAR_POSITION[0x150=0x2]

6.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED = 0kmph","1..Write ODO value through DID value[E119] = 999998km [ODO_CLUSTER[0X550] = 999998]

At step 1

Cluster should display,

a)ODO_CLUSTER [0x550] = ""999998""km

b)Neutral gear, 0Kmph

2.Simulate HIL_Mdl_GPS= 1 [GEAR_POSITION[0x150=0x1]; 1 Gear]

3.Simulate HIL_Mdl_Cons_APS to achieve BUS_CLUSTER_QS_CC_TC_SETTING_0x120_DISPLAY_SPEED ~= 10kmph

4. Drive the vehicle for 0.9 Km [Scenario to be decided]

At step 4

Cluster should display,

a) ODO_CLUSTER [0x550] = ""999998""km (Resolution of 1 Km)

b) 1 gear, 10kmph

5. Continue driving for 1 Km [Scenario to be decided]

At step 5

Cluster should not display,

a) ODO_CLUSTER [0x550] = ""999999""km (Resolution of 1 Km)

b) 1 gear, 10kmph","1.Turn Ignition OFF[HIL_Mdl_Ignition_SW_IP= 0]

2. Set Battery Voltage to 0V"
